,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
124,29.264,34.505,2017-04-06 00:00:00,6901764,17.655,36.837,2017-02-23 00:00:00,6901771,5.722,42.737,2017-02-19 00:00:00,6902687
125,7.516,42.411,2017-04-07 00:00:00,6902733,30.335,34.393,2017-02-23 00:00:00,6901764,16.769,41.559,2017-02-19 00:00:00,6903178
126,25.132,33.176,2017-04-07 00:00:00,6903204,7.726,42.475,2017-02-24 00:00:00,6902733,33.776,32.397,2017-02-19 00:00:00,6903222
127,20.856,36.392,2017-04-08 00:00:00,6901768,21.161,36.381,2017-02-25 00:00:00,6901768,9.955,39.377,2017-02-20 00:00:00,6903180
128,21.916,35.542,2017-04-08 00:00:00,6903203,30.951,33.02,2017-02-25 00:00:00,6901773,10.53,40.775,2017-02-20 00:00:00,6901767
129,30.748,33.372,2017-04-08 00:00:00,6901773,3.756,41.634,2017-02-26 00:00:00,6901864,23.607,34.495,2017-02-20 00:00:00,6901765
130,16.813,35.912,2017-04-09 00:00:00,6903153,17.499,38.934,2017-02-26 00:00:00,6901863,10.41,39.364,2017-02-21 00:00:00,6901769
131,29.58,32.971,2017-04-09 00:00:00,6901766,29.416,33.776,2017-02-26 00:00:00,6901766,25.519,34.312,2017-02-21 00:00:00,6903204
132,5.141,41.51,2017-04-10 00:00:00,6902687,3.728,38.714,2017-02-27 00:00:00,6902732,26.741,33.199,2017-02-21 00:00:00,6901770
133,10.289,40.499,2017-04-10 00:00:00,6901767,10.512,40.813,2017-02-27 00:00:00,6901767,33.817,32.364,2017-02-21 00:00:00,6903222
134,22.716,35.598,2017-04-10 00:00:00,6901765,19.954,38.808,2017-02-27 00:00:00,6901862,5.17,41.144,2017-02-22 00:00:00,6902688
135,9.129,38.661,2017-04-11 00:00:00,6903180,23.631,34.612,2017-02-27 00:00:00,6901765,22.286,35.879,2017-02-22 00:00:00,6903203
136,33.864,32.609,2017-04-11 00:00:00,6903222,10.304,39.173,2017-02-28 00:00:00,6901769,17.173,35.242,2017-02-23 00:00:00,6903153
137,25.321,33.159,2017-04-12 00:00:00,6903204,26.74,33.138,2017-02-28 00:00:00,6901770,17.655,36.837,2017-02-23 00:00:00,6901771
138,17.132,36.999,2017-04-13 00:00:00,6901771,17.67,36.716,2017-03-02 00:00:00,6901771,30.335,34.393,2017-02-23 00:00:00,6901764
139,21.949,35.626,2017-04-13 00:00:00,6903203,29.974,34.527,2017-03-02 00:00:00,6901764,6.137,42.858,2017-02-24 00:00:00,6902687
140,29.05,34.68,2017-04-13 00:00:00,6901764,3.636,41.805,2017-03-03 00:00:00,6901864,7.726,42.475,2017-02-24 00:00:00,6902733
141,5.255,41.695,2017-04-15 00:00:00,6902687,7.755,42.568,2017-03-03 00:00:00,6902733,16.776,41.556,2017-02-24 00:00:00,6903178
142,20.628,36.236,2017-04-15 00:00:00,6901768,17.476,38.708,2017-03-03 00:00:00,6901863,9.938,39.205,2017-02-25 00:00:00,6903180
143,30.772,33.267,2017-04-15 00:00:00,6901773,20.126,39.073,2017-03-04 00:00:00,6901862,21.161,36.381,2017-02-25 00:00:00,6901768
144,9.055,38.581,2017-04-16 00:00:00,6903180,21.201,36.461,2017-03-04 00:00:00,6901768,30.951,33.02,2017-02-25 00:00:00,6901773
145,29.292,32.953,2017-04-16 00:00:00,6901766,31.024,32.987,2017-03-04 00:00:00,6901773,33.86,32.29,2017-02-25 00:00:00,6903222
146,33.86,32.617,2017-04-16 00:00:00,6903222,29.855,33.742,2017-03-05 00:00:00,6901766,25.412,34.273,2017-02-26 00:00:00,6903204
147,10.268,40.495,2017-04-17 00:00:00,6901767,3.671,38.819,2017-03-06 00:00:00,6902732,5.086,41.146,2017-02-27 00:00:00,6902688
148,22.599,35.695,2017-04-17 00:00:00,6901765,10.487,40.819,2017-03-06 00:00:00,6901767,10.512,40.813,2017-02-27 00:00:00,6901767
149,25.54,33.225,2017-04-17 00:00:00,6903204,23.474,34.718,2017-03-06 00:00:00,6901765,23.631,34.612,2017-02-27 00:00:00,6901765
150,5.438,41.544,2017-04-20 00:00:00,6902687,10.26,39.0,2017-03-07 00:00:00,6901769,33.845,32.296,2017-02-27 00:00:00,6903222
151,17.151,37.153,2017-04-20 00:00:00,6901771,26.557,33.308,2017-03-07 00:00:00,6901770,10.304,39.173,2017-02-28 00:00:00,6901769
152,28.912,34.681,2017-04-20 00:00:00,6901764,3.682,41.802,2017-03-08 00:00:00,6901864,17.13,35.333,2017-02-28 00:00:00,6903153
153,7.948,42.453,2017-04-21 00:00:00,6902733,17.3,38.762,2017-03-08 00:00:00,6901863,26.74,33.138,2017-02-28 00:00:00,6901770
154,8.852,38.51,2017-04-21 00:00:00,6903180,17.533,36.677,2017-03-09 00:00:00,6901771,6.431,42.595,2017-03-01 00:00:00,6902687
155,33.736,32.553,2017-04-21 00:00:00,6903222,19.882,39.105,2017-03-09 00:00:00,6901862,16.78,41.555,2017-03-01 00:00:00,6903178
156,20.352,36.391,2017-04-22 00:00:00,6901768,29.639,34.572,2017-03-09 00:00:00,6901764,33.857,32.317,2017-03-01 00:00:00,6903222
157,25.59,33.377,2017-04-22 00:00:00,6903204,7.884,42.683,2017-03-10 00:00:00,6902733,9.848,39.106,2017-03-02 00:00:00,6903180
158,31.189,33.166,2017-04-22 00:00:00,6901773,21.184,36.61,2017-03-11 00:00:00,6901768,17.67,36.716,2017-03-02 00:00:00,6901771
159,29.256,32.793,2017-04-23 00:00:00,6901766,31.001,32.998,2017-03-11 00:00:00,6901773,29.974,34.527,2017-03-02 00:00:00,6901764
160,10.216,40.478,2017-04-24 00:00:00,6901767,30.555,33.798,2017-03-12 00:00:00,6901766,7.755,42.568,2017-03-03 00:00:00,6902733
161,22.396,35.697,2017-04-24 00:00:00,6901765,3.67,38.738,2017-03-13 00:00:00,6902732,25.501,34.274,2017-03-03 00:00:00,6903204
162,5.487,41.489,2017-04-25 00:00:00,6902687,3.751,41.751,2017-03-13 00:00:00,6901864,33.95,32.311,2017-03-03 00:00:00,6903222
163,9.831,38.682,2017-04-25 00:00:00,6901769,10.441,40.824,2017-03-13 00:00:00,6901767,5.125,41.243,2017-03-04 00:00:00,6902688
164,33.642,32.642,2017-04-26 00:00:00,6903222,17.372,38.699,2017-03-13 00:00:00,6901863,21.201,36.461,2017-03-04 00:00:00,6901768
165,17.179,37.281,2017-04-27 00:00:00,6901771,23.413,34.955,2017-03-13 00:00:00,6901765,22.119,35.828,2017-03-04 00:00:00,6903203
166,25.339,33.55,2017-04-27 00:00:00,6903204,10.193,38.966,2017-03-14 00:00:00,6901769,31.024,32.987,2017-03-04 00:00:00,6901773
167,28.826,34.639,2017-04-27 00:00:00,6901764,19.569,39.209,2017-03-14 00:00:00,6901862,17.164,35.413,2017-03-05 00:00:00,6903153
