,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,Qc
403,28.816,32.689,2017-08-13 00:00:00,6901766,2.0
404,10.386,40.235,2017-08-14 00:00:00,6901767,1.0
405,19.982,34.987,2017-08-14 00:00:00,6902828,-9999.0
406,21.594,36.602,2017-08-14 00:00:00,6901765,1.0
407,34.142,32.448,2017-08-14 00:00:00,6903222,-9999.0
408,9.399,38.191,2017-08-15 00:00:00,6901769,1.0
409,19.954,34.974,2017-08-15 00:00:00,6902828,-9999.0
410,25.654,33.906,2017-08-15 00:00:00,6903204,-9999.0
411,26.345,34.451,2017-08-15 00:00:00,6901770,1.0
412,6.911,39.822,2017-08-16 00:00:00,6902688,-9999.0
413,19.93,34.968,2017-08-16 00:00:00,6902828,-9999.0
414,19.913,34.958,2017-08-17 00:00:00,6902828,-9999.0
415,27.92,34.443,2017-08-17 00:00:00,6901764,1.0
416,19.895,34.946,2017-08-18 00:00:00,6902828,-9999.0
417,19.363,37.09,2017-08-19 00:00:00,6901768,1.0
418,19.879,34.937,2017-08-19 00:00:00,6902828,-9999.0
419,31.239,32.933,2017-08-19 00:00:00,6901773,2.0
420,34.211,32.439,2017-08-19 00:00:00,6903222,-9999.0
421,19.867,34.938,2017-08-20 00:00:00,6902828,-9999.0
422,28.939,32.786,2017-08-20 00:00:00,6901766,2.0
423,6.982,39.845,2017-08-21 00:00:00,6902688,-9999.0
424,10.452,40.217,2017-08-21 00:00:00,6901767,1.0
425,19.877,34.936,2017-08-21 00:00:00,6902828,-9999.0
426,21.585,36.628,2017-08-21 00:00:00,6901765,1.0
427,9.132,38.168,2017-08-22 00:00:00,6901769,1.0
428,19.884,34.931,2017-08-22 00:00:00,6902828,-9999.0
429,26.355,34.486,2017-08-22 00:00:00,6901770,1.0
430,19.889,34.921,2017-08-23 00:00:00,6902828,-9999.0
