,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
122,17.185,36.783,2017-03-30 00:00:00,6901771,26.741,33.199,2017-02-21 00:00:00,6901770,17.041,34.867,2017-02-18 00:00:00,6903153
123,29.179,34.566,2017-03-30 00:00:00,6901764,20.066,38.613,2017-02-22 00:00:00,6901862,21.056,36.454,2017-02-18 00:00:00,6901768
124,7.837,42.503,2017-03-31 00:00:00,6902733,17.655,36.837,2017-02-23 00:00:00,6901771,31.0,33.101,2017-02-18 00:00:00,6901773
125,20.959,36.526,2017-04-01 00:00:00,6901768,30.335,34.393,2017-02-23 00:00:00,6901764,5.722,42.737,2017-02-19 00:00:00,6902687
126,31.117,33.269,2017-04-01 00:00:00,6901773,7.726,42.475,2017-02-24 00:00:00,6902733,16.769,41.559,2017-02-19 00:00:00,6903178
127,29.868,33.08,2017-04-02 00:00:00,6901766,21.161,36.381,2017-02-25 00:00:00,6901768,33.776,32.397,2017-02-19 00:00:00,6903222
128,10.301,40.504,2017-04-03 00:00:00,6901767,30.951,33.02,2017-02-25 00:00:00,6901773,9.955,39.377,2017-02-20 00:00:00,6903180
129,22.807,35.515,2017-04-03 00:00:00,6901765,3.756,41.634,2017-02-26 00:00:00,6901864,10.53,40.775,2017-02-20 00:00:00,6901767
130,10.157,38.936,2017-04-04 00:00:00,6901769,17.499,38.934,2017-02-26 00:00:00,6901863,23.607,34.495,2017-02-20 00:00:00,6901765
131,27.294,34.418,2017-04-04 00:00:00,6901770,29.416,33.776,2017-02-26 00:00:00,6901766,10.41,39.364,2017-02-21 00:00:00,6901769
132,17.132,36.86,2017-04-06 00:00:00,6901771,3.728,38.714,2017-02-27 00:00:00,6902732,25.519,34.312,2017-02-21 00:00:00,6903204
133,29.264,34.505,2017-04-06 00:00:00,6901764,10.512,40.813,2017-02-27 00:00:00,6901767,26.741,33.199,2017-02-21 00:00:00,6901770
134,7.516,42.411,2017-04-07 00:00:00,6902733,19.954,38.808,2017-02-27 00:00:00,6901862,33.817,32.364,2017-02-21 00:00:00,6903222
135,20.856,36.392,2017-04-08 00:00:00,6901768,23.631,34.612,2017-02-27 00:00:00,6901765,5.17,41.144,2017-02-22 00:00:00,6902688
136,30.748,33.372,2017-04-08 00:00:00,6901773,10.304,39.173,2017-02-28 00:00:00,6901769,22.286,35.879,2017-02-22 00:00:00,6903203
137,29.58,32.971,2017-04-09 00:00:00,6901766,26.74,33.138,2017-02-28 00:00:00,6901770,17.173,35.242,2017-02-23 00:00:00,6903153
138,10.289,40.499,2017-04-10 00:00:00,6901767,17.67,36.716,2017-03-02 00:00:00,6901771,17.655,36.837,2017-02-23 00:00:00,6901771
139,22.716,35.598,2017-04-10 00:00:00,6901765,29.974,34.527,2017-03-02 00:00:00,6901764,30.335,34.393,2017-02-23 00:00:00,6901764
140,10.077,38.874,2017-04-11 00:00:00,6901769,3.636,41.805,2017-03-03 00:00:00,6901864,6.137,42.858,2017-02-24 00:00:00,6902687
