,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
106,28.207,34.132,2019-02-27 00:00:00,6901764,7.445,39.82,2019-01-23 00:00:00,6901657,12.62,39.251,2019-02-08 00:00:00,6902903
107,28.267,34.113,2019-02-28 00:00:00,6901764,15.529,37.203,2019-01-23 00:00:00,6901862,23.3,34.644,2019-02-08 00:00:00,6901775
108,4.432,40.4,2019-03-01 00:00:00,6902803,17.411,39.225,2019-01-23 00:00:00,6903249,26.554,34.339,2019-02-08 00:00:00,6903247
109,12.669,39.342,2019-03-01 00:00:00,6902903,23.78,39.511,2019-01-23 00:00:00,6903283,27.382,35.279,2019-02-08 00:00:00,6902872
110,28.317,34.085,2019-03-01 00:00:00,6901764,7.161,42.921,2019-01-24 00:00:00,6902901,3.952,40.511,2019-02-09 00:00:00,6902803
111,23.393,34.77,2019-03-02 00:00:00,6901775,26.912,34.188,2019-01-24 00:00:00,6903247,6.914,40.251,2019-02-09 00:00:00,6902804
112,28.357,34.07,2019-03-02 00:00:00,6901764,28.571,34.057,2019-01-24 00:00:00,6901764,27.354,34.865,2019-02-09 00:00:00,6902900
113,34.493,33.351,2019-03-02 00:00:00,6901773,4.046,41.04,2019-01-25 00:00:00,6902803,34.191,33.263,2019-02-09 00:00:00,6901773
114,5.825,40.134,2019-03-03 00:00:00,6901774,7.036,40.053,2019-01-25 00:00:00,6902804,7.647,42.484,2019-02-11 00:00:00,6902901
115,10.077,39.545,2019-03-03 00:00:00,6903238,12.661,39.262,2019-01-25 00:00:00,6902903,9.879,39.989,2019-02-11 00:00:00,6903238
116,17.88,34.548,2019-03-03 00:00:00,6903237,23.319,34.635,2019-01-25 00:00:00,6901775,17.83,34.654,2019-02-11 00:00:00,6903237
